"date","level","name","disease","classification","i_cases"
2022-03-13,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-03-13,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-03-13,"Department","CENTRAL","DENGUE","TOTAL",3
2022-11-28,"Department","GUAIRA","DENGUE","SOSPECHOSO",2
2022-11-28,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-11-28,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-11-28,"Department","GUAIRA","DENGUE","TOTAL",2
2022-12-31,"Department","CENTRAL","DENGUE","SOSPECHOSO",52
2022-12-31,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-12-31,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-31,"Department","CENTRAL","DENGUE","TOTAL",52
2022-11-29,"Department","NEEMBUCU","DENGUE","SOSPECHOSO",6
2022-11-29,"Department","NEEMBUCU","DENGUE","CONFIRMADO",0
2022-11-29,"Department","NEEMBUCU","DENGUE","PROBABLE",0
2022-11-29,"Department","NEEMBUCU","DENGUE","TOTAL",6
2022-10-28,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-10-28,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-10-28,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-10-28,"Department","GUAIRA","DENGUE","TOTAL",1
2022-12-12,"Department","GUAIRA","DENGUE","SOSPECHOSO",6
2022-12-12,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-12-12,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-12-12,"Department","GUAIRA","DENGUE","TOTAL",6
2022-12-20,"Department","CENTRAL","DENGUE","SOSPECHOSO",82
2022-12-20,"Department","CENTRAL","DENGUE","CONFIRMADO",2
2022-12-20,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-20,"Department","CENTRAL","DENGUE","TOTAL",84
2022-11-15,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-11-15,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-11-15,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-11-15,"Department","GUAIRA","DENGUE","TOTAL",1
2022-12-13,"Department","CONCEPCION","DENGUE","SOSPECHOSO",6
2022-12-13,"Department","CONCEPCION","DENGUE","CONFIRMADO",1
2022-12-13,"Department","CONCEPCION","DENGUE","PROBABLE",0
2022-12-13,"Department","CONCEPCION","DENGUE","TOTAL",7
2022-12-14,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-12-14,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-12-14,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-12-14,"Department","GUAIRA","DENGUE","TOTAL",1
2022-10-31,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-10-31,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-10-31,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-10-31,"Department","GUAIRA","DENGUE","TOTAL",1
2022-12-27,"Department","GUAIRA","DENGUE","SOSPECHOSO",6
2022-12-27,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-12-27,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-12-27,"Department","GUAIRA","DENGUE","TOTAL",6
2022-11-12,"Department","GUAIRA","DENGUE","SOSPECHOSO",2
2022-11-12,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-11-12,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-11-12,"Department","GUAIRA","DENGUE","TOTAL",2
2022-12-22,"Department","GUAIRA","DENGUE","SOSPECHOSO",4
2022-12-22,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-12-22,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-12-22,"Department","GUAIRA","DENGUE","TOTAL",4
2022-12-12,"Department","CENTRAL","DENGUE","SOSPECHOSO",61
2022-12-12,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-12-12,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-12-12,"Department","CENTRAL","DENGUE","TOTAL",61
2022-11-21,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-11-21,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-11-21,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-11-21,"Department","GUAIRA","DENGUE","TOTAL",1
2022-01-01,"Department","ASUNCION","DENGUE","SOSPECHOSO",3
2022-01-01,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-01,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-01,"Department","ASUNCION","DENGUE","TOTAL",3
2022-01-03,"Department","CENTRAL","DENGUE","SOSPECHOSO",4
2022-01-03,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-03,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-03,"Department","CENTRAL","DENGUE","TOTAL",4
2022-01-02,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-01-02,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-01-02,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-01-02,"Department","GUAIRA","DENGUE","TOTAL",1
2022-01-04,"Department","CENTRAL","DENGUE","SOSPECHOSO",3
2022-01-04,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-04,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-04,"Department","CENTRAL","DENGUE","TOTAL",3
2022-01-06,"Department","CENTRAL","DENGUE","SOSPECHOSO",3
2022-01-06,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-06,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-06,"Department","CENTRAL","DENGUE","TOTAL",3
2022-01-05,"Department","ASUNCION","DENGUE","SOSPECHOSO",3
2022-01-05,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-05,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-05,"Department","ASUNCION","DENGUE","TOTAL",3
2022-01-01,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-01,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-01,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-01,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-08,"Department","CENTRAL","DENGUE","SOSPECHOSO",4
2022-01-08,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-08,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-08,"Department","CENTRAL","DENGUE","TOTAL",4
2022-01-07,"Department","ASUNCION","DENGUE","SOSPECHOSO",2
2022-01-07,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-07,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-07,"Department","ASUNCION","DENGUE","TOTAL",2
2022-01-03,"Department","CORDILLERA","DENGUE","SOSPECHOSO",0
2022-01-03,"Department","CORDILLERA","DENGUE","CONFIRMADO",0
2022-01-03,"Department","CORDILLERA","DENGUE","PROBABLE",1
2022-01-03,"Department","CORDILLERA","DENGUE","TOTAL",1
2022-01-07,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-07,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-07,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-07,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-06,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",2
2022-01-06,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-01-06,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-01-06,"Department","SAN PEDRO","DENGUE","TOTAL",2
2022-01-04,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-04,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-04,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-04,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-02,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",2
2022-01-02,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-01-02,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-01-02,"Department","SAN PEDRO","DENGUE","TOTAL",2
2022-01-05,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",2
2022-01-05,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-01-05,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-01-05,"Department","SAN PEDRO","DENGUE","TOTAL",2
2022-01-02,"Department","ASUNCION","DENGUE","SOSPECHOSO",3
2022-01-02,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-02,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-02,"Department","ASUNCION","DENGUE","TOTAL",3
2022-01-10,"Department","CENTRAL","DENGUE","SOSPECHOSO",3
2022-01-10,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-10,"Department","CENTRAL","DENGUE","PROBABLE",1
2022-01-10,"Department","CENTRAL","DENGUE","TOTAL",4
2022-01-08,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-08,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-08,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-08,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-06,"Department","CANINDEYU","DENGUE","SOSPECHOSO",1
2022-01-06,"Department","CANINDEYU","DENGUE","CONFIRMADO",0
2022-01-06,"Department","CANINDEYU","DENGUE","PROBABLE",0
2022-01-06,"Department","CANINDEYU","DENGUE","TOTAL",1
2022-01-01,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",1
2022-01-01,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-01-01,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-01-01,"Department","SAN PEDRO","DENGUE","TOTAL",1
2022-01-09,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-09,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-09,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-09,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-05,"Department","MISIONES","DENGUE","SOSPECHOSO",1
2022-01-05,"Department","MISIONES","DENGUE","CONFIRMADO",0
2022-01-05,"Department","MISIONES","DENGUE","PROBABLE",0
2022-01-05,"Department","MISIONES","DENGUE","TOTAL",1
2022-01-02,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-02,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-02,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-02,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-02,"Department","CAAZAPA","DENGUE","SOSPECHOSO",1
2022-01-02,"Department","CAAZAPA","DENGUE","CONFIRMADO",0
2022-01-02,"Department","CAAZAPA","DENGUE","PROBABLE",0
2022-01-02,"Department","CAAZAPA","DENGUE","TOTAL",1
2022-01-10,"Department","ASUNCION","DENGUE","SOSPECHOSO",1
2022-01-10,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-10,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-10,"Department","ASUNCION","DENGUE","TOTAL",1
2022-01-08,"Department","ASUNCION","DENGUE","SOSPECHOSO",1
2022-01-08,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-08,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-08,"Department","ASUNCION","DENGUE","TOTAL",1
2022-01-09,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-09,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-09,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-09,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-15,"Department","ASUNCION","DENGUE","SOSPECHOSO",3
2022-01-15,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-15,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-15,"Department","ASUNCION","DENGUE","TOTAL",3
2022-01-01,"Department","CONCEPCION","DENGUE","SOSPECHOSO",1
2022-01-01,"Department","CONCEPCION","DENGUE","CONFIRMADO",0
2022-01-01,"Department","CONCEPCION","DENGUE","PROBABLE",0
2022-01-01,"Department","CONCEPCION","DENGUE","TOTAL",1
2022-01-13,"Department","CENTRAL","DENGUE","SOSPECHOSO",4
2022-01-13,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-13,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-13,"Department","CENTRAL","DENGUE","TOTAL",4
2022-01-07,"Department","PTE HAYES","DENGUE","SOSPECHOSO",1
2022-01-07,"Department","PTE HAYES","DENGUE","CONFIRMADO",0
2022-01-07,"Department","PTE HAYES","DENGUE","PROBABLE",0
2022-01-07,"Department","PTE HAYES","DENGUE","TOTAL",1
2022-01-13,"Department","PTE HAYES","DENGUE","SOSPECHOSO",1
2022-01-13,"Department","PTE HAYES","DENGUE","CONFIRMADO",0
2022-01-13,"Department","PTE HAYES","DENGUE","PROBABLE",0
2022-01-13,"Department","PTE HAYES","DENGUE","TOTAL",1
2022-01-14,"Department","CENTRAL","DENGUE","SOSPECHOSO",3
2022-01-14,"Department","CENTRAL","DENGUE","CONFIRMADO",1
2022-01-14,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-14,"Department","CENTRAL","DENGUE","TOTAL",4
2022-01-12,"Department","CENTRAL","DENGUE","SOSPECHOSO",1
2022-01-12,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-12,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-12,"Department","CENTRAL","DENGUE","TOTAL",1
2022-01-17,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-01-17,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-01-17,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-01-17,"Department","GUAIRA","DENGUE","TOTAL",1
2022-01-17,"Department","CENTRAL","DENGUE","SOSPECHOSO",3
2022-01-17,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-17,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-17,"Department","CENTRAL","DENGUE","TOTAL",3
2022-01-12,"Department","ASUNCION","DENGUE","SOSPECHOSO",1
2022-01-12,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-12,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-12,"Department","ASUNCION","DENGUE","TOTAL",1
2022-01-07,"Department","CAAZAPA","DENGUE","SOSPECHOSO",0
2022-01-07,"Department","CAAZAPA","DENGUE","CONFIRMADO",0
2022-01-07,"Department","CAAZAPA","DENGUE","PROBABLE",1
2022-01-07,"Department","CAAZAPA","DENGUE","TOTAL",1
2022-01-01,"Department","GUAIRA","DENGUE","SOSPECHOSO",1
2022-01-01,"Department","GUAIRA","DENGUE","CONFIRMADO",0
2022-01-01,"Department","GUAIRA","DENGUE","PROBABLE",0
2022-01-01,"Department","GUAIRA","DENGUE","TOTAL",1
2022-01-10,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",2
2022-01-10,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-10,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-10,"Department","CAAGUAZU","DENGUE","TOTAL",2
2022-01-12,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",3
2022-01-12,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-12,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-12,"Department","CAAGUAZU","DENGUE","TOTAL",3
2022-01-16,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-16,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-16,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-16,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-16,"Department","ASUNCION","DENGUE","SOSPECHOSO",1
2022-01-16,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-16,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-16,"Department","ASUNCION","DENGUE","TOTAL",1
2022-01-17,"Department","ASUNCION","DENGUE","SOSPECHOSO",2
2022-01-17,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-17,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-17,"Department","ASUNCION","DENGUE","TOTAL",2
2022-01-15,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-15,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-15,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-15,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-14,"Department","PTE HAYES","DENGUE","SOSPECHOSO",1
2022-01-14,"Department","PTE HAYES","DENGUE","CONFIRMADO",0
2022-01-14,"Department","PTE HAYES","DENGUE","PROBABLE",0
2022-01-14,"Department","PTE HAYES","DENGUE","TOTAL",1
2022-01-11,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-11,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-11,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-11,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-18,"Department","PTE HAYES","DENGUE","SOSPECHOSO",1
2022-01-18,"Department","PTE HAYES","DENGUE","CONFIRMADO",0
2022-01-18,"Department","PTE HAYES","DENGUE","PROBABLE",0
2022-01-18,"Department","PTE HAYES","DENGUE","TOTAL",1
2022-01-19,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",2
2022-01-19,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-19,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-19,"Department","CAAGUAZU","DENGUE","TOTAL",2
2022-01-13,"Department","ASUNCION","DENGUE","SOSPECHOSO",2
2022-01-13,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-13,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-13,"Department","ASUNCION","DENGUE","TOTAL",2
2022-01-14,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-14,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-14,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-14,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-18,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-18,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-18,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-18,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-17,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-17,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-17,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-17,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-04,"Department","ASUNCION","DENGUE","SOSPECHOSO",1
2022-01-04,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-04,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-04,"Department","ASUNCION","DENGUE","TOTAL",1
2022-01-22,"Department","CENTRAL","DENGUE","SOSPECHOSO",1
2022-01-22,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-22,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-22,"Department","CENTRAL","DENGUE","TOTAL",1
2022-01-21,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-21,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-21,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-21,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-24,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-24,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-24,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-24,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-11,"Department","PTE HAYES","DENGUE","SOSPECHOSO",1
2022-01-11,"Department","PTE HAYES","DENGUE","CONFIRMADO",0
2022-01-11,"Department","PTE HAYES","DENGUE","PROBABLE",0
2022-01-11,"Department","PTE HAYES","DENGUE","TOTAL",1
2022-01-09,"Department","PTE HAYES","DENGUE","SOSPECHOSO",1
2022-01-09,"Department","PTE HAYES","DENGUE","CONFIRMADO",0
2022-01-09,"Department","PTE HAYES","DENGUE","PROBABLE",0
2022-01-09,"Department","PTE HAYES","DENGUE","TOTAL",1
2022-01-22,"Department","ASUNCION","DENGUE","SOSPECHOSO",1
2022-01-22,"Department","ASUNCION","DENGUE","CONFIRMADO",0
2022-01-22,"Department","ASUNCION","DENGUE","PROBABLE",0
2022-01-22,"Department","ASUNCION","DENGUE","TOTAL",1
2022-01-15,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-15,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-15,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-15,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-22,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",2
2022-01-22,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-22,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-22,"Department","CAAGUAZU","DENGUE","TOTAL",2
2022-01-20,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-20,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-20,"Department","CENTRAL","DENGUE","PROBABLE",0
2022-01-20,"Department","CENTRAL","DENGUE","TOTAL",2
2022-01-21,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",1
2022-01-21,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-01-21,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-01-21,"Department","SAN PEDRO","DENGUE","TOTAL",1
2022-01-26,"Department","CAAGUAZU","DENGUE","SOSPECHOSO",1
2022-01-26,"Department","CAAGUAZU","DENGUE","CONFIRMADO",0
2022-01-26,"Department","CAAGUAZU","DENGUE","PROBABLE",0
2022-01-26,"Department","CAAGUAZU","DENGUE","TOTAL",1
2022-01-30,"Department","SAN PEDRO","DENGUE","SOSPECHOSO",1
2022-01-30,"Department","SAN PEDRO","DENGUE","CONFIRMADO",0
2022-01-30,"Department","SAN PEDRO","DENGUE","PROBABLE",0
2022-01-30,"Department","SAN PEDRO","DENGUE","TOTAL",1
2022-01-24,"Department","PTE HAYES","DENGUE","SOSPECHOSO",1
2022-01-24,"Department","PTE HAYES","DENGUE","CONFIRMADO",0
2022-01-24,"Department","PTE HAYES","DENGUE","PROBABLE",0
2022-01-24,"Department","PTE HAYES","DENGUE","TOTAL",1
2022-01-30,"Department","CENTRAL","DENGUE","SOSPECHOSO",2
2022-01-30,"Department","CENTRAL","DENGUE","CONFIRMADO",0
2022-01-30,"Department","CENTRAL","DENGUE","PROBABLE",0
