"date","name","level","disease","classification","i_cases"
2022-01-08,"CENTRAL","Department","DENGUE","TOTAL",18
2022-01-08,"Centro est","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-08,"Centro est","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-08,"Centro est","Eje","CHIKUNGUNYA","SOSPECHOSO",2
2022-01-08,"Centro est","Eje","CHIKUNGUNYA","TOTAL",2
2022-01-08,"Centro est","Eje","DENGUE","CONFIRMADO",0
2022-01-08,"Centro est","Eje","DENGUE","PROBABLE",2
2022-01-08,"Centro est","Eje","DENGUE","SOSPECHOSO",5
2022-01-08,"Centro est","Eje","DENGUE","TOTAL",7
2022-01-08,"Centro norte","Eje","DENGUE","CONFIRMADO",0
2022-01-08,"Centro norte","Eje","DENGUE","PROBABLE",0
2022-01-08,"Centro norte","Eje","DENGUE","SOSPECHOSO",9
2022-01-08,"Centro norte","Eje","DENGUE","TOTAL",9
2022-01-08,"Centro sur","Eje","DENGUE","CONFIRMADO",0
2022-01-08,"Centro sur","Eje","DENGUE","PROBABLE",0
2022-01-08,"Centro sur","Eje","DENGUE","SOSPECHOSO",1
2022-01-08,"Centro sur","Eje","DENGUE","TOTAL",1
2022-01-08,"Chaco","Eje","DENGUE","CONFIRMADO",0
2022-01-08,"Chaco","Eje","DENGUE","PROBABLE",0
2022-01-08,"Chaco","Eje","DENGUE","SOSPECHOSO",1
2022-01-08,"Chaco","Eje","DENGUE","TOTAL",1
2022-01-08,"CONCEPCION","Department","DENGUE","CONFIRMADO",0
2022-01-08,"CONCEPCION","Department","DENGUE","PROBABLE",0
2022-01-08,"CONCEPCION","Department","DENGUE","SOSPECHOSO",0
2022-01-08,"CONCEPCION","Department","DENGUE","TOTAL",0
2022-01-08,"CORDILLERA","Department","DENGUE","CONFIRMADO",0
2022-01-08,"CORDILLERA","Department","DENGUE","PROBABLE",1
2022-01-08,"CORDILLERA","Department","DENGUE","SOSPECHOSO",0
2022-01-08,"CORDILLERA","Department","DENGUE","TOTAL",1
2022-01-08,"GUAIRA","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-08,"GUAIRA","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-08,"GUAIRA","Department","CHIKUNGUNYA","SOSPECHOSO",2
2022-01-08,"GUAIRA","Department","CHIKUNGUNYA","TOTAL",2
2022-01-08,"GUAIRA","Department","DENGUE","CONFIRMADO",0
2022-01-08,"GUAIRA","Department","DENGUE","PROBABLE",0
2022-01-08,"GUAIRA","Department","DENGUE","SOSPECHOSO",2
2022-01-08,"GUAIRA","Department","DENGUE","TOTAL",2
2022-01-08,"Metropolitano","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-08,"Metropolitano","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-08,"Metropolitano","Eje","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-08,"Metropolitano","Eje","CHIKUNGUNYA","TOTAL",1
2022-01-08,"Metropolitano","Eje","DENGUE","CONFIRMADO",0
2022-01-08,"Metropolitano","Eje","DENGUE","PROBABLE",0
2022-01-08,"Metropolitano","Eje","DENGUE","SOSPECHOSO",28
2022-01-08,"Metropolitano","Eje","DENGUE","TOTAL",28
2022-01-08,"MISIONES","Department","DENGUE","CONFIRMADO",0
2022-01-08,"MISIONES","Department","DENGUE","PROBABLE",0
2022-01-08,"MISIONES","Department","DENGUE","SOSPECHOSO",1
2022-01-08,"MISIONES","Department","DENGUE","TOTAL",1
2022-01-08,"Paraguay","National","CHIKUNGUNYA","CONFIRMADO",0
2022-01-08,"Paraguay","National","CHIKUNGUNYA","PROBABLE",0
2022-01-08,"Paraguay","National","CHIKUNGUNYA","SOSPECHOSO",3
2022-01-08,"Paraguay","National","CHIKUNGUNYA","TOTAL",3
2022-01-08,"Paraguay","National","DENGUE","CONFIRMADO",0
2022-01-08,"Paraguay","National","DENGUE","PROBABLE",2
2022-01-08,"Paraguay","National","DENGUE","SOSPECHOSO",44
2022-01-08,"Paraguay","National","DENGUE","TOTAL",46
2022-01-08,"PTE HAYES","Department","DENGUE","CONFIRMADO",0
2022-01-08,"PTE HAYES","Department","DENGUE","PROBABLE",0
2022-01-08,"PTE HAYES","Department","DENGUE","SOSPECHOSO",1
2022-01-08,"PTE HAYES","Department","DENGUE","TOTAL",1
2022-01-08,"SAN PEDRO","Department","DENGUE","CONFIRMADO",0
2022-01-08,"SAN PEDRO","Department","DENGUE","PROBABLE",0
2022-01-08,"SAN PEDRO","Department","DENGUE","SOSPECHOSO",8
2022-01-08,"SAN PEDRO","Department","DENGUE","TOTAL",8
2022-01-15,"ASUNCION","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-15,"ASUNCION","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-15,"ASUNCION","Department","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-15,"ASUNCION","Department","CHIKUNGUNYA","TOTAL",0
2022-01-15,"ASUNCION","Department","DENGUE","CONFIRMADO",0
2022-01-15,"ASUNCION","Department","DENGUE","PROBABLE",0
2022-01-15,"ASUNCION","Department","DENGUE","SOSPECHOSO",7
2022-01-15,"ASUNCION","Department","DENGUE","TOTAL",7
2022-01-15,"CAAGUAZU","Department","DENGUE","CONFIRMADO",0
2022-01-15,"CAAGUAZU","Department","DENGUE","PROBABLE",0
2022-01-15,"CAAGUAZU","Department","DENGUE","SOSPECHOSO",9
2022-01-15,"CAAGUAZU","Department","DENGUE","TOTAL",9
2022-01-15,"CAAZAPA","Department","DENGUE","CONFIRMADO",0
2022-01-15,"CAAZAPA","Department","DENGUE","PROBABLE",0
2022-01-15,"CAAZAPA","Department","DENGUE","SOSPECHOSO",0
2022-01-15,"CAAZAPA","Department","DENGUE","TOTAL",0
2022-01-15,"CANINDEYU","Department","DENGUE","CONFIRMADO",0
2022-01-15,"CANINDEYU","Department","DENGUE","PROBABLE",0
2022-01-15,"CANINDEYU","Department","DENGUE","SOSPECHOSO",0
2022-01-15,"CANINDEYU","Department","DENGUE","TOTAL",0
2022-01-15,"CENTRAL","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-15,"CENTRAL","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-15,"CENTRAL","Department","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-15,"CENTRAL","Department","CHIKUNGUNYA","TOTAL",1
2022-01-15,"CENTRAL","Department","DENGUE","CONFIRMADO",1
2022-01-15,"CENTRAL","Department","DENGUE","PROBABLE",1
2022-01-15,"CENTRAL","Department","DENGUE","SOSPECHOSO",15
2022-01-15,"CENTRAL","Department","DENGUE","TOTAL",17
2022-01-15,"Centro est","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-15,"Centro est","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-15,"Centro est","Eje","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-15,"Centro est","Eje","CHIKUNGUNYA","TOTAL",0
2022-01-15,"Centro est","Eje","DENGUE","CONFIRMADO",0
2022-01-15,"Centro est","Eje","DENGUE","PROBABLE",0
2022-01-15,"Centro est","Eje","DENGUE","SOSPECHOSO",9
2022-01-15,"Centro est","Eje","DENGUE","TOTAL",9
2022-01-15,"Centro norte","Eje","DENGUE","CONFIRMADO",0
2022-01-15,"Centro norte","Eje","DENGUE","PROBABLE",0
2022-01-15,"Centro norte","Eje","DENGUE","SOSPECHOSO",0
2022-01-15,"Centro norte","Eje","DENGUE","TOTAL",0
2022-01-15,"Centro sur","Eje","DENGUE","CONFIRMADO",0
2022-01-15,"Centro sur","Eje","DENGUE","PROBABLE",0
2022-01-15,"Centro sur","Eje","DENGUE","SOSPECHOSO",1
2022-01-15,"Centro sur","Eje","DENGUE","TOTAL",1
2022-01-15,"Chaco","Eje","DENGUE","CONFIRMADO",0
2022-01-15,"Chaco","Eje","DENGUE","PROBABLE",0
2022-01-15,"Chaco","Eje","DENGUE","SOSPECHOSO",4
2022-01-15,"Chaco","Eje","DENGUE","TOTAL",4
2022-01-15,"CONCEPCION","Department","DENGUE","CONFIRMADO",0
2022-01-15,"CONCEPCION","Department","DENGUE","PROBABLE",0
2022-01-15,"CONCEPCION","Department","DENGUE","SOSPECHOSO",0
2022-01-15,"CONCEPCION","Department","DENGUE","TOTAL",0
2022-01-15,"CORDILLERA","Department","DENGUE","CONFIRMADO",0
2022-01-15,"CORDILLERA","Department","DENGUE","PROBABLE",0
2022-01-15,"CORDILLERA","Department","DENGUE","SOSPECHOSO",0
2022-01-15,"CORDILLERA","Department","DENGUE","TOTAL",0
2022-01-15,"GUAIRA","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-15,"GUAIRA","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-15,"GUAIRA","Department","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-15,"GUAIRA","Department","CHIKUNGUNYA","TOTAL",0
2022-01-15,"GUAIRA","Department","DENGUE","CONFIRMADO",0
2022-01-15,"GUAIRA","Department","DENGUE","PROBABLE",0
2022-01-15,"GUAIRA","Department","DENGUE","SOSPECHOSO",0
2022-01-15,"GUAIRA","Department","DENGUE","TOTAL",0
2022-01-15,"Metropolitano","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-15,"Metropolitano","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-15,"Metropolitano","Eje","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-15,"Metropolitano","Eje","CHIKUNGUNYA","TOTAL",1
2022-01-15,"Metropolitano","Eje","DENGUE","CONFIRMADO",1
2022-01-15,"Metropolitano","Eje","DENGUE","PROBABLE",1
2022-01-15,"Metropolitano","Eje","DENGUE","SOSPECHOSO",22
2022-01-15,"Metropolitano","Eje","DENGUE","TOTAL",24
2022-01-15,"MISIONES","Department","DENGUE","CONFIRMADO",0
2022-01-15,"MISIONES","Department","DENGUE","PROBABLE",0
2022-01-15,"MISIONES","Department","DENGUE","SOSPECHOSO",1
2022-01-15,"MISIONES","Department","DENGUE","TOTAL",1
2022-01-15,"Paraguay","National","CHIKUNGUNYA","CONFIRMADO",0
2022-01-15,"Paraguay","National","CHIKUNGUNYA","PROBABLE",0
2022-01-15,"Paraguay","National","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-15,"Paraguay","National","CHIKUNGUNYA","TOTAL",1
2022-01-15,"Paraguay","National","DENGUE","CONFIRMADO",1
2022-01-15,"Paraguay","National","DENGUE","PROBABLE",1
2022-01-15,"Paraguay","National","DENGUE","SOSPECHOSO",36
2022-01-15,"Paraguay","National","DENGUE","TOTAL",38
2022-01-15,"PTE HAYES","Department","DENGUE","CONFIRMADO",0
2022-01-15,"PTE HAYES","Department","DENGUE","PROBABLE",0
2022-01-15,"PTE HAYES","Department","DENGUE","SOSPECHOSO",4
2022-01-15,"PTE HAYES","Department","DENGUE","TOTAL",4
2022-01-15,"SAN PEDRO","Department","DENGUE","CONFIRMADO",0
2022-01-15,"SAN PEDRO","Department","DENGUE","PROBABLE",0
2022-01-15,"SAN PEDRO","Department","DENGUE","SOSPECHOSO",0
2022-01-15,"SAN PEDRO","Department","DENGUE","TOTAL",0
2022-01-22,"ASUNCION","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-22,"ASUNCION","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-22,"ASUNCION","Department","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-22,"ASUNCION","Department","CHIKUNGUNYA","TOTAL",1
2022-01-22,"ASUNCION","Department","DENGUE","CONFIRMADO",0
2022-01-22,"ASUNCION","Department","DENGUE","PROBABLE",0
2022-01-22,"ASUNCION","Department","DENGUE","SOSPECHOSO",4
2022-01-22,"ASUNCION","Department","DENGUE","TOTAL",4
2022-01-22,"CAAGUAZU","Department","DENGUE","CONFIRMADO",0
2022-01-22,"CAAGUAZU","Department","DENGUE","PROBABLE",0
2022-01-22,"CAAGUAZU","Department","DENGUE","SOSPECHOSO",6
2022-01-22,"CAAGUAZU","Department","DENGUE","TOTAL",6
2022-01-22,"CAAZAPA","Department","DENGUE","CONFIRMADO",0
2022-01-22,"CAAZAPA","Department","DENGUE","PROBABLE",0
2022-01-22,"CAAZAPA","Department","DENGUE","SOSPECHOSO",0
2022-01-22,"CAAZAPA","Department","DENGUE","TOTAL",0
2022-01-22,"CANINDEYU","Department","DENGUE","CONFIRMADO",0
2022-01-22,"CANINDEYU","Department","DENGUE","PROBABLE",0
2022-01-22,"CANINDEYU","Department","DENGUE","SOSPECHOSO",0
2022-01-22,"CANINDEYU","Department","DENGUE","TOTAL",0
2022-01-22,"CENTRAL","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-22,"CENTRAL","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-22,"CENTRAL","Department","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-22,"CENTRAL","Department","CHIKUNGUNYA","TOTAL",1
2022-01-22,"CENTRAL","Department","DENGUE","CONFIRMADO",0
2022-01-22,"CENTRAL","Department","DENGUE","PROBABLE",0
2022-01-22,"CENTRAL","Department","DENGUE","SOSPECHOSO",11
2022-01-22,"CENTRAL","Department","DENGUE","TOTAL",11
2022-01-22,"Centro est","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-22,"Centro est","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-22,"Centro est","Eje","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-22,"Centro est","Eje","CHIKUNGUNYA","TOTAL",0
2022-01-22,"Centro est","Eje","DENGUE","CONFIRMADO",0
2022-01-22,"Centro est","Eje","DENGUE","PROBABLE",0
2022-01-22,"Centro est","Eje","DENGUE","SOSPECHOSO",7
2022-01-22,"Centro est","Eje","DENGUE","TOTAL",7
2022-01-22,"Centro norte","Eje","DENGUE","CONFIRMADO",0
2022-01-22,"Centro norte","Eje","DENGUE","PROBABLE",0
2022-01-22,"Centro norte","Eje","DENGUE","SOSPECHOSO",1
2022-01-22,"Centro norte","Eje","DENGUE","TOTAL",1
2022-01-22,"Centro sur","Eje","DENGUE","CONFIRMADO",0
2022-01-22,"Centro sur","Eje","DENGUE","PROBABLE",0
2022-01-22,"Centro sur","Eje","DENGUE","SOSPECHOSO",0
2022-01-22,"Centro sur","Eje","DENGUE","TOTAL",0
2022-01-22,"Chaco","Eje","DENGUE","CONFIRMADO",0
2022-01-22,"Chaco","Eje","DENGUE","PROBABLE",0
2022-01-22,"Chaco","Eje","DENGUE","SOSPECHOSO",1
2022-01-22,"Chaco","Eje","DENGUE","TOTAL",1
2022-01-22,"CONCEPCION","Department","DENGUE","CONFIRMADO",0
2022-01-22,"CONCEPCION","Department","DENGUE","PROBABLE",0
2022-01-22,"CONCEPCION","Department","DENGUE","SOSPECHOSO",0
2022-01-22,"CONCEPCION","Department","DENGUE","TOTAL",0
2022-01-22,"CORDILLERA","Department","DENGUE","CONFIRMADO",0
2022-01-22,"CORDILLERA","Department","DENGUE","PROBABLE",0
2022-01-22,"CORDILLERA","Department","DENGUE","SOSPECHOSO",0
2022-01-22,"CORDILLERA","Department","DENGUE","TOTAL",0
2022-01-22,"GUAIRA","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-22,"GUAIRA","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-22,"GUAIRA","Department","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-22,"GUAIRA","Department","CHIKUNGUNYA","TOTAL",0
2022-01-22,"GUAIRA","Department","DENGUE","CONFIRMADO",0
2022-01-22,"GUAIRA","Department","DENGUE","PROBABLE",0
2022-01-22,"GUAIRA","Department","DENGUE","SOSPECHOSO",1
2022-01-22,"GUAIRA","Department","DENGUE","TOTAL",1
2022-01-22,"Metropolitano","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-22,"Metropolitano","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-22,"Metropolitano","Eje","CHIKUNGUNYA","SOSPECHOSO",2
2022-01-22,"Metropolitano","Eje","CHIKUNGUNYA","TOTAL",2
2022-01-22,"Metropolitano","Eje","DENGUE","CONFIRMADO",0
2022-01-22,"Metropolitano","Eje","DENGUE","PROBABLE",0
2022-01-22,"Metropolitano","Eje","DENGUE","SOSPECHOSO",15
2022-01-22,"Metropolitano","Eje","DENGUE","TOTAL",15
2022-01-22,"MISIONES","Department","DENGUE","CONFIRMADO",0
2022-01-22,"MISIONES","Department","DENGUE","PROBABLE",0
2022-01-22,"MISIONES","Department","DENGUE","SOSPECHOSO",0
2022-01-22,"MISIONES","Department","DENGUE","TOTAL",0
2022-01-22,"Paraguay","National","CHIKUNGUNYA","CONFIRMADO",0
2022-01-22,"Paraguay","National","CHIKUNGUNYA","PROBABLE",0
2022-01-22,"Paraguay","National","CHIKUNGUNYA","SOSPECHOSO",2
2022-01-22,"Paraguay","National","CHIKUNGUNYA","TOTAL",2
2022-01-22,"Paraguay","National","DENGUE","CONFIRMADO",0
2022-01-22,"Paraguay","National","DENGUE","PROBABLE",0
2022-01-22,"Paraguay","National","DENGUE","SOSPECHOSO",24
2022-01-22,"Paraguay","National","DENGUE","TOTAL",24
2022-01-22,"PTE HAYES","Department","DENGUE","CONFIRMADO",0
2022-01-22,"PTE HAYES","Department","DENGUE","PROBABLE",0
2022-01-22,"PTE HAYES","Department","DENGUE","SOSPECHOSO",1
2022-01-22,"PTE HAYES","Department","DENGUE","TOTAL",1
2022-01-22,"SAN PEDRO","Department","DENGUE","CONFIRMADO",0
2022-01-22,"SAN PEDRO","Department","DENGUE","PROBABLE",0
2022-01-22,"SAN PEDRO","Department","DENGUE","SOSPECHOSO",1
2022-01-22,"SAN PEDRO","Department","DENGUE","TOTAL",1
2022-01-29,"ASUNCION","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-29,"ASUNCION","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-29,"ASUNCION","Department","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-29,"ASUNCION","Department","CHIKUNGUNYA","TOTAL",0
2022-01-29,"ASUNCION","Department","DENGUE","CONFIRMADO",0
2022-01-29,"ASUNCION","Department","DENGUE","PROBABLE",0
2022-01-29,"ASUNCION","Department","DENGUE","SOSPECHOSO",0
2022-01-29,"ASUNCION","Department","DENGUE","TOTAL",0
2022-01-29,"CAAGUAZU","Department","DENGUE","CONFIRMADO",0
2022-01-29,"CAAGUAZU","Department","DENGUE","PROBABLE",0
2022-01-29,"CAAGUAZU","Department","DENGUE","SOSPECHOSO",2
2022-01-29,"CAAGUAZU","Department","DENGUE","TOTAL",2
2022-01-29,"CAAZAPA","Department","DENGUE","CONFIRMADO",0
2022-01-29,"CAAZAPA","Department","DENGUE","PROBABLE",0
2022-01-29,"CAAZAPA","Department","DENGUE","SOSPECHOSO",0
2022-01-29,"CAAZAPA","Department","DENGUE","TOTAL",0
2022-01-29,"CANINDEYU","Department","DENGUE","CONFIRMADO",0
2022-01-29,"CANINDEYU","Department","DENGUE","PROBABLE",0
2022-01-29,"CANINDEYU","Department","DENGUE","SOSPECHOSO",0
2022-01-29,"CANINDEYU","Department","DENGUE","TOTAL",0
2022-01-29,"CENTRAL","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-29,"CENTRAL","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-29,"CENTRAL","Department","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-29,"CENTRAL","Department","CHIKUNGUNYA","TOTAL",1
2022-01-29,"CENTRAL","Department","DENGUE","CONFIRMADO",0
2022-01-29,"CENTRAL","Department","DENGUE","PROBABLE",0
2022-01-29,"CENTRAL","Department","DENGUE","SOSPECHOSO",2
2022-01-29,"CENTRAL","Department","DENGUE","TOTAL",2
2022-01-29,"Centro est","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-29,"Centro est","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-29,"Centro est","Eje","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-29,"Centro est","Eje","CHIKUNGUNYA","TOTAL",0
2022-01-29,"Centro est","Eje","DENGUE","CONFIRMADO",0
2022-01-29,"Centro est","Eje","DENGUE","PROBABLE",0
2022-01-29,"Centro est","Eje","DENGUE","SOSPECHOSO",2
2022-01-29,"Centro est","Eje","DENGUE","TOTAL",2
2022-01-29,"Centro norte","Eje","DENGUE","CONFIRMADO",0
2022-01-29,"Centro norte","Eje","DENGUE","PROBABLE",0
2022-01-29,"Centro norte","Eje","DENGUE","SOSPECHOSO",0
2022-01-29,"Centro norte","Eje","DENGUE","TOTAL",0
2022-01-29,"Centro sur","Eje","DENGUE","CONFIRMADO",0
2022-01-29,"Centro sur","Eje","DENGUE","PROBABLE",0
2022-01-29,"Centro sur","Eje","DENGUE","SOSPECHOSO",0
2022-01-29,"Centro sur","Eje","DENGUE","TOTAL",0
2022-01-29,"Chaco","Eje","DENGUE","CONFIRMADO",0
2022-01-29,"Chaco","Eje","DENGUE","PROBABLE",0
2022-01-29,"Chaco","Eje","DENGUE","SOSPECHOSO",1
2022-01-29,"Chaco","Eje","DENGUE","TOTAL",1
2022-01-29,"CONCEPCION","Department","DENGUE","CONFIRMADO",0
2022-01-29,"CONCEPCION","Department","DENGUE","PROBABLE",0
2022-01-29,"CONCEPCION","Department","DENGUE","SOSPECHOSO",0
2022-01-29,"CONCEPCION","Department","DENGUE","TOTAL",0
2022-01-29,"CORDILLERA","Department","DENGUE","CONFIRMADO",0
2022-01-29,"CORDILLERA","Department","DENGUE","PROBABLE",0
2022-01-29,"CORDILLERA","Department","DENGUE","SOSPECHOSO",0
2022-01-29,"CORDILLERA","Department","DENGUE","TOTAL",0
2022-01-29,"GUAIRA","Department","CHIKUNGUNYA","CONFIRMADO",0
2022-01-29,"GUAIRA","Department","CHIKUNGUNYA","PROBABLE",0
2022-01-29,"GUAIRA","Department","CHIKUNGUNYA","SOSPECHOSO",0
2022-01-29,"GUAIRA","Department","CHIKUNGUNYA","TOTAL",0
2022-01-29,"GUAIRA","Department","DENGUE","CONFIRMADO",0
2022-01-29,"GUAIRA","Department","DENGUE","PROBABLE",0
2022-01-29,"GUAIRA","Department","DENGUE","SOSPECHOSO",0
2022-01-29,"GUAIRA","Department","DENGUE","TOTAL",0
2022-01-29,"Metropolitano","Eje","CHIKUNGUNYA","CONFIRMADO",0
2022-01-29,"Metropolitano","Eje","CHIKUNGUNYA","PROBABLE",0
2022-01-29,"Metropolitano","Eje","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-29,"Metropolitano","Eje","CHIKUNGUNYA","TOTAL",1
2022-01-29,"Metropolitano","Eje","DENGUE","CONFIRMADO",0
2022-01-29,"Metropolitano","Eje","DENGUE","PROBABLE",0
2022-01-29,"Metropolitano","Eje","DENGUE","SOSPECHOSO",2
2022-01-29,"Metropolitano","Eje","DENGUE","TOTAL",2
2022-01-29,"MISIONES","Department","DENGUE","CONFIRMADO",0
2022-01-29,"MISIONES","Department","DENGUE","PROBABLE",0
2022-01-29,"MISIONES","Department","DENGUE","SOSPECHOSO",0
2022-01-29,"MISIONES","Department","DENGUE","TOTAL",0
2022-01-29,"Paraguay","National","CHIKUNGUNYA","CONFIRMADO",0
2022-01-29,"Paraguay","National","CHIKUNGUNYA","PROBABLE",0
2022-01-29,"Paraguay","National","CHIKUNGUNYA","SOSPECHOSO",1
2022-01-29,"Paraguay","National","CHIKUNGUNYA","TOTAL",1
2022-01-29,"Paraguay","National","DENGUE","CONFIRMADO",0
2022-01-29,"Paraguay","National","DENGUE","PROBABLE",0
2022-01-29,"Paraguay","National","DENGUE","SOSPECHOSO",5
2022-01-29,"Paraguay","National","DENGUE","TOTAL",5
2022-01-29,"PTE HAYES","Department","DENGUE","CONFIRMADO",0
